phase,epoch,train_loss,train_acc,val_loss,val_acc,lr
head,1,2.5380588321314046,0.4940654672663668,2.1338362503314476,0.5933884297520661,0.001
head,2,2.101419038679646,0.6058533233383309,2.055898963649739,0.6169421487603306,0.00075
head,3,2.0127542936938934,0.6313718140929535,1.9895652371661394,0.6363636363636364,0.0002500000000000001
finetune,4,1.7129176318317816,0.7169540229885057,1.7846804385014474,0.690633608815427,0.0001
finetune,5,1.494714725291592,0.7911356821589205,1.7144927275739097,0.7110192837465564,9.829629131445342e-05
finetune,6,1.3577511187257438,0.8353948025987007,1.7093519866302322,0.7088154269972452,9.330127018922195e-05
finetune,7,1.2569670943782545,0.8677223888055972,1.7091266503347182,0.7134986225895317,8.535533905932738e-05
finetune,8,1.18886838088567,0.8941466766616691,1.7080993254322652,0.7122589531680441,7.500000000000001e-05
finetune,9,1.1207137744406472,0.9159170414792603,1.701913776213801,0.7161157024793389,6.294095225512605e-05
finetune,10,1.0676353636650608,0.9323775612193903,1.6756773678067631,0.7199724517906336,5.000000000000001e-05
finetune,11,1.0203046912196159,0.9468078460769616,1.6658566497245768,0.7283746556473829,3.705904774487398e-05
finetune,12,0.9864967948552789,0.957427536231884,1.6833391163303175,0.7209366391184573,2.5000000000000018e-05
finetune,13,0.9707236533341319,0.9622688655672164,1.6540264514523761,0.7301652892561984,1.4644660940672632e-05
finetune,14,0.9498176395088836,0.9686406796601699,1.6578213607640964,0.7254820936639118,6.698729810778067e-06
finetune,15,0.9447125770460659,0.9713580709645178,1.6489276160878583,0.7304407713498623,1.7037086855465907e-06
