Model,Train images,Precision,Recall,mAP50,mAP50-95
YOLO11s pretrained (official COCO weights),118 287 (full train2017),0.7054,0.577,0.6322,0.4639
YOLO11s fine-tuned (13 epochs),12000 (selected train2017),0.6456,0.5515,0.585,0.4176
