class_id,class_name,precision,recall,ap50,ap50_95
15,cat,0.8127469998417819,0.8594843746024878,0.9049971571691976,0.7208291737336187
23,giraffe,0.8559634143837053,0.875,0.9068497488295554,0.7090558594107146
21,bear,0.7769474845915557,0.8831140063797189,0.8680679045844294,0.7041944256637674
22,zebra,0.8060049883115785,0.8434530007952281,0.8938219802528861,0.7013460271564721
6,train,0.8107761506571454,0.8421052631578947,0.8907701112015725,0.7003442181995361
5,bus,0.8815217925670178,0.7279151943462897,0.8301218093284487,0.6965981822340124
10,fire hydrant,0.7362830443651582,0.8016502908631777,0.8472627934116816,0.6961482748325796
4,airplane,0.7901305994405847,0.8531468531468531,0.8718548057579836,0.6910860819345106
20,elephant,0.8076971878157422,0.8452380952380952,0.8686544615498885,0.667413524702158
11,stop sign,0.7079180179229072,0.6933333333333334,0.7291321565228399,0.6609588901279839
29,frisbee,0.8377637363799258,0.8082585609656497,0.837148668264128,0.6540950423803109
16,dog,0.8573510915867828,0.7064220183486238,0.7809853553895982,0.6428231502328738
61,toilet,0.7783473841163073,0.7486033519553073,0.7895605764239538,0.6350300370339633
63,laptop,0.6674334075350982,0.7272727272727273,0.7512537790821153,0.6062779556658054
72,refrigerator,0.6934609994715794,0.7380952380952381,0.7468031431812967,0.5943911812119809
62,tv,0.6350169606048387,0.7534722222222222,0.7593393986669392,0.5744278127160085
68,microwave,0.47340481794443584,0.7454545454545455,0.7108648844057112,0.5664029351209569
64,mouse,0.6460809689887872,0.7358490566037735,0.7363552704654328,0.5654650754096393
17,horse,0.7394916728972741,0.7463235294117647,0.7755561822459858,0.5633835581715746
36,skateboard,0.761575203915981,0.7316323610269563,0.7588078633679347,0.5531504620400451
19,cow,0.7830680963270045,0.6854838709677419,0.7492211387431769,0.5510818020455683
0,person,0.8553366708859598,0.6517742455347616,0.7826728472087116,0.5493715441674637
12,parking meter,0.7357097570750868,0.7,0.7218876224662018,0.5420614144128976
18,sheep,0.6910539224886223,0.7231638418079096,0.7420971812110777,0.5198326138974518
66,keyboard,0.6408758885435952,0.6648416548552,0.7136934456667267,0.5163862639609623
53,pizza,0.732715134033113,0.6795774647887324,0.6948479167707082,0.515694385837764
70,toaster,0.30805763167565064,0.7777777777777778,0.6282232879537953,0.5012745977722772
38,tennis racket,0.8871917816997084,0.6533333333333333,0.7485517722308569,0.4876560563344919
74,clock,0.6919884033896667,0.6816479400749064,0.7146613475805741,0.47556576993827304
77,teddy bear,0.6279200811293194,0.6263157894736842,0.6563740052274614,0.47103463025693293
3,motorcycle,0.7491338503204048,0.6757493188010899,0.7254532464819462,0.4690375188868077
57,couch,0.6215973185879412,0.5823754789272031,0.618061702546123,0.457038341070099
54,donut,0.5677519553420739,0.6310975609756098,0.5836796813613445,0.4518880152337572
59,bed,0.6475581614914714,0.558282208588957,0.632508250473161,0.447369820705459
32,sports ball,0.7585878055495747,0.6115384615384616,0.6323011825449538,0.4418876777151426
25,umbrella,0.5898902949961626,0.6191646191646192,0.6185426371235333,0.42329833709220405
28,suitcase,0.5497638145277526,0.6493255461815488,0.6279149012208386,0.41830632405190116
33,kite,0.5831379279173061,0.6330275229357798,0.5909992475908138,0.4104082915475935
2,car,0.7932907468302189,0.4982224650766115,0.6229411770121274,0.40818931232265043
41,cup,0.7949270608440882,0.38994413407821227,0.5425690594540498,0.39970232937649086
45,bowl,0.6757956524085875,0.4622792937399679,0.5443710459855353,0.3918163883778471
48,sandwich,0.5810808716714867,0.4576271186440678,0.5046508617574751,0.39008360530937597
52,hot dog,0.47311485940499903,0.512,0.5139423144430686,0.37567733041299295
71,sink,0.6897588594852907,0.5066666666666667,0.5664741406296205,0.37118360871072487
55,cake,0.5880144557848067,0.5387096774193548,0.5372351953123554,0.36753845891744696
35,baseball glove,0.6071560883436845,0.6081081081081081,0.6223697049629829,0.3672526507411291
39,bottle,0.6692291259753808,0.4471865745310958,0.5372950700446044,0.36117386108977956
37,surfboard,0.7516423944504493,0.5093632958801498,0.586217264872702,0.35689100636143944
75,vase,0.6045740096076819,0.5022032620135922,0.5038199971330413,0.356258157312605
7,truck,0.5140723007540254,0.4758454106280193,0.4839216988388404,0.33916473990536616
40,wine glass,0.7177104059217552,0.424987287196332,0.5198187821808065,0.33660880990233144
69,oven,0.5138998906204529,0.5104895104895105,0.5087726615818804,0.3361181337348139
42,fork,0.6786796710430328,0.3627906976744186,0.47781412304367704,0.333206404421592
14,bird,0.6231682447385444,0.47540983606557374,0.5039602752675783,0.32629723199379085
67,cell phone,0.7350031679113626,0.3705251489478604,0.4839378491369949,0.3158575568067749
60,dining table,0.6248500043533928,0.40981007954261384,0.4607507791516719,0.31531474117076785
27,tie,0.6845386080211344,0.430553881802138,0.4891150936818806,0.30675449054216364
1,bicycle,0.7704261728688614,0.43312101910828027,0.5235529497627129,0.3000006915016994
34,baseball bat,0.6631601937597745,0.503448275862069,0.5098280602740147,0.2997671541847464
31,snowboard,0.47139890450619876,0.45239170009375185,0.4091434670869085,0.29514073309666217
56,chair,0.6241634196884857,0.3619424054206663,0.4575790155846463,0.29395698372534224
76,scissors,0.5287115300283387,0.3611111111111111,0.3884729965011033,0.29087062116991
79,toothbrush,0.47458001914597203,0.39624738469706167,0.3786453036905856,0.2624258261937573
65,remote,0.5972766111920528,0.38869257950530034,0.4402101964476147,0.26043180809027466
49,orange,0.4551184001841005,0.36140350877192984,0.32972442767797283,0.25241262701651257
58,potted plant,0.5776926588186975,0.3639884029156323,0.42780957639216,0.25030492745463306
8,boat,0.5458488472007558,0.4009433962264151,0.45128908376389454,0.24612883844448152
13,bench,0.6108549047035889,0.3170049032978333,0.35923131156893984,0.24588213254612595
9,traffic light,0.6953668992778299,0.37804031254758685,0.46628018973915464,0.24289879041413695
46,banana,0.6035193636560292,0.3085542468067752,0.40331100615124904,0.24182764153067282
30,skis,0.6133097104390532,0.38333333333333336,0.42448489524081723,0.22671349119040912
47,apple,0.40224862319919363,0.3050847457627119,0.2927339274742893,0.20847052563985788
51,carrot,0.43525148990917767,0.33424657534246577,0.3167766923352689,0.19827755910170847
50,broccoli,0.5149697780646721,0.3076923076923077,0.343850134658908,0.19457254074747662
43,knife,0.5506551947133735,0.20923076923076922,0.29143461159458683,0.1798367162084915
44,spoon,0.5382645428637611,0.2608695652173913,0.26255924470496356,0.1637180623164428
26,handbag,0.5515540778985252,0.2222222222222222,0.25981150826715205,0.14749824797939598
24,backpack,0.5176587884079138,0.21293800539083557,0.24631945746368916,0.14125314164804417
73,book,0.36095529204612437,0.2191305622331038,0.20485614280260836,0.10606526860655592
78,hair drier,0.12493739101542631,0.2727272727272727,0.163434411017439,0.05287215898914864
