class_id,class_name,baseline_ap50,baseline_ap50_95
0,person,0.8052284555269599,0.5794151735874705
1,bicycle,0.5703058354643136,0.3426055105432628
2,car,0.6755495303592931,0.45661567809117176
3,motorcycle,0.7499479481742087,0.49594899292687133
4,airplane,0.9331256191428682,0.7551670026633163
5,bus,0.8556606449706285,0.7262103063072407
6,train,0.9327417922339606,0.7591382794645988
7,truck,0.5793623170601296,0.4110608864224277
8,boat,0.5179590080760532,0.2985943386796715
9,traffic light,0.49339751482412075,0.2647056469396607
10,fire hydrant,0.8657718274938131,0.7052336187126432
11,stop sign,0.7383663332503112,0.6711913299660814
12,parking meter,0.7114149349028147,0.5584405570891332
13,bench,0.3940098121493336,0.27525617559378873
14,bird,0.5306804577919957,0.35988179268684084
15,cat,0.9236538245123297,0.7589807268333886
16,dog,0.817908562573016,0.7111796147246587
17,horse,0.8384008465279715,0.6491248021102134
18,sheep,0.7828328902044868,0.572374600709931
19,cow,0.7934453121699351,0.5920694129150949
20,elephant,0.877141146405741,0.692511911206388
21,bear,0.9308223298397893,0.7803001223124942
22,zebra,0.9144041930989836,0.7248996393821135
23,giraffe,0.9305595758909699,0.7525129249647831
24,backpack,0.2787894507515753,0.15739548667422715
25,umbrella,0.6549265679162753,0.45434863033972117
26,handbag,0.29987416889222995,0.16808851346739284
27,tie,0.5333553016335569,0.35314204883196487
28,suitcase,0.6735167619087472,0.4603785170720235
29,frisbee,0.8577671608828965,0.6803147040597604
30,skis,0.49949452336389033,0.28631425852977543
31,snowboard,0.5686943644319473,0.43366833534188076
32,sports ball,0.6332352927211502,0.4590535294081574
33,kite,0.6204499727746644,0.4330525437003635
34,baseball bat,0.595638917419907,0.3676408614819872
35,baseball glove,0.6534578264121773,0.39093905150199737
36,skateboard,0.7890053572618282,0.589327994930592
37,surfboard,0.6338549510507161,0.4128741884962846
38,tennis racket,0.796250509847068,0.5280995214651567
39,bottle,0.5732875012818542,0.3900658260409368
40,wine glass,0.5747614324745038,0.3814995078235325
41,cup,0.6031125602515919,0.44813085903697136
42,fork,0.561310629830575,0.40193542937475557
43,knife,0.3245056842074038,0.2022061577002857
44,spoon,0.3101944165802468,0.20641578948952155
45,bowl,0.603245857928744,0.447351672923721
46,banana,0.4231446819617595,0.273591498223754
47,apple,0.31609086827431276,0.21728700898022546
48,sandwich,0.5524653670412062,0.4189968466540438
49,orange,0.41290749933968396,0.3187119411813336
50,broccoli,0.39970006009454884,0.2375843606833173
51,carrot,0.3652532112104515,0.23410205461298048
52,hot dog,0.5371938646492032,0.40929643103495106
53,pizza,0.7412948161004462,0.5641621318068832
54,donut,0.61721777418783,0.48463069150532406
55,cake,0.6216017939019628,0.42547967698304623
56,chair,0.5168162931873578,0.34110119804035366
57,couch,0.669117741473623,0.5285276516693992
58,potted plant,0.48943873434284896,0.30293618755978324
59,bed,0.6942553544262744,0.5004015549229655
60,dining table,0.49791297494313147,0.3479072635285442
61,toilet,0.8495620020813627,0.7032275334765412
62,tv,0.8133631846409337,0.6243862696818117
63,laptop,0.7935351741039589,0.6628997486748044
64,mouse,0.7890467197848877,0.6124506598187462
65,remote,0.49229465076173523,0.31529925809328463
66,keyboard,0.7192409375098832,0.5443236925109927
67,cell phone,0.5651815452373836,0.37588798234424153
68,microwave,0.7843799046571929,0.6350823984842725
69,oven,0.6200930121180741,0.444722985959526
70,toaster,0.7701388888888889,0.5741527777777778
71,sink,0.6221630499941,0.4264051594326479
72,refrigerator,0.7965533555981172,0.674091469989769
73,book,0.2485830464115326,0.13129754877041278
74,clock,0.7452459639487914,0.5316124445574835
75,vase,0.5853518176051941,0.41897814056063815
76,scissors,0.474930943109435,0.3763541888680964
77,teddy bear,0.7135552368228022,0.5436812241916049
78,hair drier,0.08041379184196085,0.04213502948048845
79,toothbrush,0.45504693541253016,0.3251515959197535
