class_id,class_name,precision,recall,ap50,ap50_95,baseline_ap50,baseline_ap50_95,delta_ap50_95
78,hair drier,0.12493739101542631,0.2727272727272727,0.163434411017439,0.05287215898914864,0.08041379184196085,0.04213502948048845,0.010737129508660188
47,apple,0.40224862319919363,0.3050847457627119,0.2927339274742893,0.20847052563985788,0.31609086827431276,0.21728700898022546,-0.008816483340367581
10,fire hydrant,0.7362830443651582,0.8016502908631777,0.8472627934116816,0.6961482748325796,0.8657718274938131,0.7052336187126432,-0.009085343880063657
11,stop sign,0.7079180179229072,0.6933333333333334,0.7291321565228399,0.6609588901279839,0.7383663332503112,0.6711913299660814,-0.010232439838097518
24,backpack,0.5176587884079138,0.21293800539083557,0.24631945746368916,0.14125314164804417,0.2787894507515753,0.15739548667422715,-0.016142345026182975
12,parking meter,0.7357097570750868,0.7,0.7218876224662018,0.5420614144128976,0.7114149349028147,0.5584405570891332,-0.016379142676235636
32,sports ball,0.7585878055495747,0.6115384615384616,0.6323011825449538,0.4418876777151426,0.6332352927211502,0.4590535294081574,-0.017165851693014822
26,handbag,0.5515540778985252,0.2222222222222222,0.25981150826715205,0.14749824797939598,0.29987416889222995,0.16808851346739284,-0.02059026548799686
9,traffic light,0.6953668992778299,0.37804031254758685,0.46628018973915464,0.24289879041413695,0.49339751482412075,0.2647056469396607,-0.02180685652552375
43,knife,0.5506551947133735,0.20923076923076922,0.29143461159458683,0.1798367162084915,0.3245056842074038,0.2022061577002857,-0.02236944149179418
33,kite,0.5831379279173061,0.6330275229357798,0.5909992475908138,0.4104082915475935,0.6204499727746644,0.4330525437003635,-0.022644252152769995
22,zebra,0.8060049883115785,0.8434530007952281,0.8938219802528861,0.7013460271564721,0.9144041930989836,0.7248996393821135,-0.02355361222564145
35,baseball glove,0.6071560883436845,0.6081081081081081,0.6223697049629829,0.3672526507411291,0.6534578264121773,0.39093905150199737,-0.023686400760868254
20,elephant,0.8076971878157422,0.8452380952380952,0.8686544615498885,0.667413524702158,0.877141146405741,0.692511911206388,-0.02509838650423002
73,book,0.36095529204612437,0.2191305622331038,0.20485614280260836,0.10606526860655592,0.2485830464115326,0.13129754877041278,-0.025232280163856854
29,frisbee,0.8377637363799258,0.8082585609656497,0.837148668264128,0.6540950423803109,0.8577671608828965,0.6803147040597604,-0.026219661679449446
3,motorcycle,0.7491338503204048,0.6757493188010899,0.7254532464819462,0.4690375188868077,0.7499479481742087,0.49594899292687133,-0.02691147404006361
66,keyboard,0.6408758885435952,0.6648416548552,0.7136934456667267,0.5163862639609623,0.7192409375098832,0.5443236925109927,-0.02793742855003034
39,bottle,0.6692291259753808,0.4471865745310958,0.5372950700446044,0.36117386108977956,0.5732875012818542,0.3900658260409368,-0.028891964951157256
48,sandwich,0.5810808716714867,0.4576271186440678,0.5046508617574751,0.39008360530937597,0.5524653670412062,0.4189968466540438,-0.028913241344667828
13,bench,0.6108549047035889,0.3170049032978333,0.35923131156893984,0.24588213254612595,0.3940098121493336,0.27525617559378873,-0.02937404304766278
5,bus,0.8815217925670178,0.7279151943462897,0.8301218093284487,0.6965981822340124,0.8556606449706285,0.7262103063072407,-0.02961212407322833
0,person,0.8553366708859598,0.6517742455347616,0.7826728472087116,0.5493715441674637,0.8052284555269599,0.5794151735874705,-0.030043629420006823
25,umbrella,0.5898902949961626,0.6191646191646192,0.6185426371235333,0.42329833709220405,0.6549265679162753,0.45434863033972117,-0.031050293247517124
46,banana,0.6035193636560292,0.3085542468067752,0.40331100615124904,0.24182764153067282,0.4231446819617595,0.273591498223754,-0.03176385669308118
60,dining table,0.6248500043533928,0.40981007954261384,0.4607507791516719,0.31531474117076785,0.49791297494313147,0.3479072635285442,-0.03259252235777632
