epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,336.461,1.34681,2.96856,1.27694,0.69306,0.55821,0.68092,0.54242,0.94156,0.9413,0.97262,0.000104125,0.000104125,0.000104125
2,343.015,1.32465,2.31253,1.29867,0.7563,0.54518,0.68477,0.53858,0.95952,1.00732,0.97937,6.0095e-05,6.0095e-05,6.0095e-05
